Norwegian.taxa	Scientific.taxa	m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	catchsampleid	catchcategory	aphia	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	blindreading	readingdate	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	rightclawheight	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	morphologytype	individualcomment	cond
gonatus	Gonatus	4	2020	1019	9	2207	8	82418	138036	1	1			2	0.035																																																																										
lusuer	Sebastes viviparus	4	2020	1019	9	2207	9	166779	127255	1	1	0.208		2	0.235																																																																										1.55264615833212
lusuer	Sebastes viviparus	4	2020	1019	9	2207	9	166779	127255	2	1	0.086		2	0.17																																																																										1.67544877004892
øyepål	Trisopterus esmarkii	4	2020	1019	9	2207	10	164756	126444	1	1	0.03		2	0.16																																																																										0.699135184342285
øyepål	Trisopterus esmarkii	4	2020	1019	9	2207	10	164756	126444	2	1	0.034		2	0.17																																																																										0.662386723042595
øyepål	Trisopterus esmarkii	4	2020	1019	9	2207	10	164756	126444	3	1	0.012		2	0.13																																																																										0.515862087495046
flekksteinbit	Anarhichas minor	4	2020	1019	9	2207	11	171342	126759	1	1	9.38		3	0.99																																																																										0.952211881355719
flekksteinbit	Anarhichas minor	4	2020	1019	9	2207	11	171342	126759	2	1	15.01		3	1.06																																																																										1.24260148679627
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	1	1	0.955		2	0.405			1	2																																																																						1.41130386974811
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	2	1	0.52		2	0.355			1	2																																																																						1.13808632562606
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	3	1	0.455		2	0.33			2	1																																																																						1.23776001142548
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	4	1	0.307		2	0.295			1	1																																																																						1.16594339169182
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	5	1	0.184		2	0.245			1	1																																																																						1.21364651514636
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	6	1			2	0.35																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	7	1			2	0.34																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	8	1			2	0.33																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	9	1			2	0.405																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	10	1			2	0.35																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	11	1			2	0.31																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	12	1			2	0.315																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	13	1			2	0.32																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	14	1			2	0.36																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	15	1			2	0.36																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	16	1			2	0.385																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	17	1			2	0.365																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	18	1			2	0.325																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	19	1			2	0.32																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	20	1			2	0.335																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	21	1			2	0.335																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	22	1			2	0.34																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	23	1			2	0.355																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	24	1			2	0.39																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	25	1			2	0.345																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	26	1			2	0.375																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	27	1			2	0.32																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	28	1			2	0.38																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	29	1			2	0.33																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	30	1			2	0.37																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	31	1			2	0.385																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	32	1			2	0.36																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	33	1			2	0.375																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	34	1			2	0.345																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	35	1			2	0.36																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	36	1			2	0.375																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	37	1			2	0.315																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	38	1			2	0.31																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	39	1			2	0.305																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	40	1			2	0.355																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	41	1			2	0.335																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	42	1			2	0.34																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	43	1			2	0.37																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	44	1			2	0.36																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	45	1			2	0.35																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	46	1			2	0.35																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	47	1			2	0.33																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	48	1			2	0.385																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	49	1			2	0.35																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	50	1			2	0.325																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	51	1			2	0.37																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	52	1			2	0.33																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	53	1			2	0.4																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	54	1			2	0.345																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	55	1			2	0.34																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	56	1			2	0.325																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	57	1			2	0.345																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	58	1			2	0.325																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	59	1			2	0.36																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	60	1			2	0.355																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	61	1			2	0.36																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	62	1			2	0.385																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	63	1			2	0.385																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	64	1			2	0.325																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	65	1			2	0.315																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	66	1			2	0.28																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	67	1			2	0.4																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	68	1			2	0.365																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	69	1			2	0.355																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	70	1			2	0.335																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	71	1			2	0.325																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	72	1			2	0.325																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	73	1			2	0.31																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	74	1			2	0.35																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	75	1			2	0.365																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	76	1			2	0.375																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	77	1			2	0.35																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	78	1			2	0.365																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	79	1			2	0.36																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	80	1			2	0.29																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	81	1			2	0.315																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	82	1			2	0.37																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	83	1			2	0.35																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	84	1			2	0.31																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	85	1			2	0.395																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	86	1			2	0.295																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	87	1			2	0.355																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	88	1			2	0.33																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	89	1			2	0.39																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	90	1			2	0.335																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	91	1			2	0.35																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	92	1			2	0.37																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	93	1			2	0.335																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	94	1			2	0.365																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	95	1			2	0.335																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	96	1			2	0.245																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	97	1			2	0.325																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	98	1			2	0.305																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	99	1			2	0.38																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	100	1			2	0.34																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	101	1			2	0.345																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	102	1			2	0.36																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	103	1			2	0.355																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	104	1			2	0.355																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	105	1			2	0.355																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	106	1			2	0.31																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	107	1			2	0.325																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	108	1			2	0.365																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	109	1			2	0.365																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	110	1			2	0.37																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	111	1			2	0.36																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	112	1			2	0.375																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	113	1			2	0.335																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	114	1			2	0.33																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	115	1			2	0.305																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	116	1			2	0.365																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	117	1			2	0.345																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	118	1			2	0.35																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	119	1			2	0.325																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	120	1			2	0.3																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	121	1			2	0.33																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	122	1			2	0.355																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	123	1			2	0.345																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	124	1			2	0.29																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	125	1			2	0.33																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	126	1			2	0.325																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	127	1			2	0.365																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	128	1			2	0.34																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	129	1			2	0.375																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	130	1			2	0.34																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	131	1			2	0.325																																																																										
oseanisk snabeluer	Sebastes mentella	4	2020	1019	9	2207	12	166756	127254	132	1			2	0.33																																																																										
torsk	Gadus morhua	4	2020	1019	9	2207	13	164712	126436	1	1	1.065		3	0.5			2																				4			1	5	3																		1				0.036																								0.826942806034353
torsk	Gadus morhua	4	2020	1019	9	2207	13	164712	126436	2	1	1.11		3	0.51																																																																										0.812645793505606
blåkveite	Reinhardtius hippoglossoides	4	2020	1019	9	2207	14	172930	127144	1	1	0.525		2	0.395			1	1	1																3																									1																												0.83588764177438
brosme	Brosme brosme	4	2020	1019	9	2207	15	164740	126447	1	1	0.505		2	0.375			1	1																																																																						0.938729595628866
brosme	Brosme brosme	4	2020	1019	9	2207	15	164740	126447	2	1	0.459		2	0.36			2	1																																																																						0.963581942679077
brosme	Brosme brosme	4	2020	1019	9	2207	15	164740	126447	3	1	0.037		2	0.17																																																																										0.720832610369883
brosme	Brosme brosme	4	2020	1019	9	2207	15	164740	126447	4	1	0.021		2	0.14																																																																										0.725729374220408
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	1	1			1	0.093																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	2	1			1	0.1																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	3	1			1	0.049																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	4	1			1	0.085																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	5	1			1	0.119																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	6	1			1	0.08																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	7	1			1	0.089																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	8	1			1	0.092																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	9	1			1	0.089																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	10	1			1	0.099																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	11	1			1	0.064																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	12	1			1	0.081																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	13	1			1	0.097																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	14	1			1	0.09																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	15	1			1	0.059																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	16	1			1	0.092																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	17	1			1	0.064																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	18	1			1	0.081																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	19	1			1	0.079																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	20	1			1	0.072																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	21	1			1	0.068																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	22	1			1	0.071																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	23	1			1	0.09																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	24	1			1	0.077																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	25	1			1	0.105																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	26	1			1	0.074																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	27	1			1	0.1																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	28	1			1	0.082																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	29	1			1	0.074																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	30	1			1	0.071																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2208	2	164744	126437	31	1			1	0.095																																																																										
øyepål	Trisopterus esmarkii	4	2020	1019	9	2208	3	164756	126444	1	1			1	0.05																																																																										
øyepål	Trisopterus esmarkii	4	2020	1019	9	2208	3	164756	126444	2	1			1	0.042																																																																										
øyepål	Trisopterus esmarkii	4	2020	1019	9	2208	3	164756	126444	3	1			1	0.033																																																																										
øyepål	Trisopterus esmarkii	4	2020	1019	9	2208	3	164756	126444	4	1			1	0.035																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	1	1			1	0.04																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	2	1			1	0.037																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	3	1			1	0.041																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	4	1			1	0.036																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	5	1			1	0.04																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	6	1			1	0.044																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	7	1			1	0.037																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	8	1			1	0.041																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	9	1			1	0.043																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	10	1			1	0.033																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	11	1			1	0.035																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	12	1			1	0.034																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	13	1			1	0.039																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	14	1			1	0.035																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	15	1			1	0.035																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	16	1			1	0.036																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	17	1			1	0.044																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	18	1			1	0.041																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	19	1			1	0.044																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	20	1			1	0.033																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	21	1			1	0.038																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	22	1			1	0.035																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	23	1			1	0.04																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	24	1			1	0.04																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	25	1			1	0.032																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	26	1			1	0.041																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	27	1			1	0.037																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	28	1			1	0.036																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	29	1			1	0.039																																																																										
uerslekten	Sebastes	4	2020	1019	9	2208	5	166705	126175	30	1			1	0.037																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2208	6	162035	126735	1	1			1	0.044																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2208	6	162035	126735	2	1			1	0.043																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2208	6	162035	126735	3	1			1	0.043																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2208	6	162035	126735	4	1			1	0.038																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2208	6	162035	126735	5	1			1	0.047																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2208	6	162035	126735	6	1			1	0.047																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2208	6	162035	126735	7	1			1	0.04																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2208	6	162035	126735	8	1			1	0.042																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2208	6	162035	126735	9	1			1	0.045																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2208	6	162035	126735	10	1			1	0.039																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2208	6	162035	126735	11	1			1	0.03																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2208	6	162035	126735	12	1			1	0.037																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2208	6	162035	126735	13	1			1	0.044																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	1	1			1	0.05																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	2	1			1	0.076																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	3	1			1	0.042																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	4	1			1	0.035																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	5	1			1	0.043																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	6	1			1	0.046																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	7	1			1	0.029																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	8	1			1	0.054																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	9	1			1	0.045																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	10	1			1	0.046																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	11	1			1	0.03																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	12	1			1	0.041																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	13	1			1	0.02																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	14	1			1	0.029																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	15	1			1	0.025																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	16	1			1	0.047																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	17	1			1	0.04																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	18	1			1	0.042																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	19	1			1	0.023																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	20	1			1	0.029																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	21	1			1	0.031																																																																										
gonatus	Gonatus	4	2020	1019	9	2208	7	82418	138036	22	1			1	0.027																																																																										
